epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6749.5,0.84629,0.69806,2.06476,0.80682,0.69152,0.78188,0.60886,0.7705,0.68192,2.07041,0.00643101,0.00643101,0.00643101
43,6910.63,0.84428,0.69405,2.068,0.81159,0.69027,0.78291,0.61022,0.76806,0.67855,2.0693,0.00628101,0.00628101,0.00628101
44,7072.31,0.83757,0.6876,2.05193,0.81126,0.69175,0.78346,0.61116,0.76624,0.6765,2.06947,0.00612981,0.00612981,0.00612981
45,7234.12,0.83007,0.68422,2.05289,0.81513,0.68969,0.78413,0.61257,0.76232,0.67482,2.06552,0.00597754,0.00597754,0.00597754
46,7395.74,0.83162,0.68605,2.06751,0.81264,0.69156,0.7847,0.61333,0.76123,0.6731,2.06405,0.00582435,0.00582435,0.00582435
47,7557.81,0.82667,0.6782,2.04819,0.81391,0.69263,0.78575,0.6146,0.75948,0.67041,2.06271,0.0056704,0.0056704,0.0056704
48,7719.42,0.82652,0.68105,2.05217,0.8172,0.69166,0.78617,0.61496,0.75735,0.66968,2.0614,0.00551584,0.00551584,0.00551584
49,7880.6,0.82096,0.67655,2.04532,0.8213,0.68887,0.7859,0.6155,0.7566,0.66828,2.06019,0.00536081,0.00536081,0.00536081
50,8042.07,0.81383,0.66929,2.03883,0.81781,0.69142,0.78652,0.61629,0.75508,0.66679,2.05978,0.00520548,0.00520548,0.00520548
51,8203.43,0.80959,0.671,2.04134,0.81523,0.69401,0.78744,0.61715,0.75391,0.66487,2.05849,0.00505,0.00505,0.00505
52,8365.14,0.8056,0.66524,2.03121,0.81184,0.69682,0.78804,0.6185,0.75242,0.66302,2.05851,0.00489452,0.00489452,0.00489452
53,8526.42,0.802,0.6611,2.03304,0.8152,0.69464,0.78846,0.6193,0.75175,0.66164,2.05766,0.00473919,0.00473919,0.00473919
